Voxel Index,Neutron Flux
0,0.0010384363512687303
1,0.007327418929391722
2,8.946306497849712e-06
3,0.0055081477604818786
4,0.0010387124779241029
5,0.00019698656164101466
6,6.249379810734651e-05
